"Piezo Voltage (V)";"Fine In 1 (V)";
88.309677;2.880486;
88.348892;2.879746;
88.388054;2.879080;
88.427269;2.878346;
88.466476;2.877665;
88.505684;2.877001;
88.544899;2.876371;
88.584106;2.875841;
88.623322;2.875225;
88.662483;2.874604;
88.701698;2.874099;
88.740906;2.873601;
88.780121;2.873078;
88.819328;2.872658;
88.858543;2.872196;
88.897751;2.871796;
88.936913;2.871390;
88.976128;2.870956;
89.015335;2.870556;
89.054550;2.870169;
89.093758;2.869815;
89.132973;2.869486;
89.172180;2.869121;
89.211357;2.868793;
89.250557;2.868394;
89.289764;2.868024;
89.328979;2.867670;
89.368187;2.867323;
89.407402;2.867045;
89.446609;2.866676;
89.485802;2.866319;
89.524986;2.865932;
89.564201;2.865574;
89.603409;2.865269;
89.642624;2.864791;
89.681831;2.864432;
89.721039;2.864057;
89.760216;2.863701;
89.799416;2.863312;
89.838631;2.862973;
89.877838;2.862549;
89.917053;2.862160;
89.956261;2.861829;
89.995476;2.861422;
90.034645;2.861069;
90.073875;2.860700;
90.113060;2.860285;
90.152267;2.859946;
90.191483;2.859598;
90.230690;2.859191;
90.269905;2.858915;
90.309074;2.858538;
90.348289;2.858218;
90.387497;2.857965;
90.426712;2.857607;
90.465912;2.857353;
90.505119;2.857090;
90.544334;2.856884;
90.583511;2.856670;
90.622719;2.856457;
90.661926;2.856355;
90.701141;2.856157;
90.740341;2.856076;
90.779556;2.855984;
90.818764;2.855899;
90.857941;2.855813;
90.897148;2.855763;
90.936356;2.855821;
90.975571;2.855847;
91.014771;2.855871;
91.053986;2.855865;
91.093193;2.855901;
91.132370;2.856065;
91.171577;2.856152;
91.210793;2.856265;
91.250000;2.856411;
91.289200;2.856502;
91.328415;2.856675;
91.367622;2.856764;
91.406807;2.856911;
91.446007;2.857086;
91.485222;2.857198;
91.524429;2.857370;
91.563644;2.857500;
91.602844;2.857689;
91.642059;2.857779;
91.681229;2.857930;
91.720436;2.857925;
91.759651;2.858052;
91.798859;2.858154;
91.838074;2.858124;
91.877274;2.858124;
91.916489;2.858118;
91.955658;2.858113;
91.994896;2.857973;
92.034081;2.857963;
92.073296;2.857829;
92.112503;2.857635;
92.151703;2.857456;
92.190918;2.857228;
92.230087;2.856985;
92.269302;2.856696;
92.308510;2.856460;
92.347725;2.856070;
92.386932;2.855690;
92.426147;2.855363;
92.465347;2.854942;
92.504524;2.854484;
92.543732;2.853998;
92.582939;2.853597;
92.622154;2.853110;
92.661362;2.852551;
92.700577;2.851972;
92.739777;2.851475;
92.778954;2.850895;
92.818161;2.850384;
92.857376;2.849722;
92.896584;2.849144;
92.935791;2.848568;
92.975006;2.847989;
93.014206;2.847445;
93.053383;2.846920;
93.092590;2.846284;
93.131805;2.845760;
93.171013;2.845216;
