"Piezo Voltage (V)";"Fine In 1 (V)";
88.309715;2.873371;
88.348930;2.873051;
88.388130;2.872620;
88.427345;2.872197;
88.466553;2.871854;
88.505760;2.871476;
88.544937;2.871095;
88.584145;2.870793;
88.623360;2.870483;
88.662560;2.870162;
88.701775;2.869887;
88.740982;2.869577;
88.780197;2.869314;
88.819366;2.869016;
88.858574;2.868819;
88.897789;2.868570;
88.936989;2.868317;
88.976204;2.868077;
89.015411;2.867887;
89.054626;2.867599;
89.093796;2.867356;
89.133026;2.867104;
89.172218;2.866856;
89.211433;2.866606;
89.250633;2.866322;
89.289841;2.866078;
89.329056;2.865781;
89.368225;2.865519;
89.407440;2.865174;
89.446648;2.864815;
89.485863;2.864518;
89.525063;2.864119;
89.564278;2.863780;
89.603485;2.863416;
89.642685;2.863025;
89.681870;2.862574;
89.721077;2.862104;
89.760292;2.861730;
89.799492;2.861241;
89.838707;2.860778;
89.877914;2.860284;
89.917091;2.859764;
89.956299;2.859239;
89.995514;2.858764;
90.034721;2.858181;
90.073921;2.857726;
90.113136;2.857112;
90.152344;2.856461;
90.191521;2.855819;
90.230736;2.855358;
90.269943;2.854702;
90.309151;2.854156;
90.348366;2.853593;
90.387573;2.853020;
90.426788;2.852319;
90.465950;2.851894;
90.505157;2.851203;
90.544373;2.850668;
90.583580;2.850121;
90.622795;2.849571;
90.662003;2.849043;
90.701218;2.848564;
90.740379;2.848043;
90.779594;2.847575;
90.818802;2.847132;
90.858017;2.846631;
90.897224;2.846157;
90.936432;2.845641;
90.975647;2.845358;
91.014809;2.844922;
91.054039;2.844517;
91.093231;2.844139;
91.132446;2.843841;
91.171654;2.843444;
91.210869;2.843135;
91.250076;2.842857;
91.289238;2.842562;
91.328453;2.842228;
91.367661;2.841965;
91.406876;2.841699;
91.446083;2.841511;
91.485298;2.841135;
91.524506;2.840947;
91.563698;2.840715;
91.602882;2.840492;
91.642097;2.840169;
91.681305;2.839914;
91.720512;2.839686;
91.759727;2.839422;
91.798935;2.839210;
91.838112;2.838955;
91.877312;2.838677;
91.916527;2.838376;
91.955734;2.838072;
91.994949;2.837808;
92.034157;2.837413;
92.073372;2.837138;
92.112541;2.836771;
92.151764;2.836343;
92.190956;2.836014;
92.230164;2.835600;
92.269379;2.835156;
92.308586;2.834731;
92.347801;2.834237;
92.386971;2.833763;
92.426186;2.833246;
92.465385;2.832743;
92.504593;2.832195;
92.543808;2.831611;
92.583015;2.831031;
92.622231;2.830457;
92.661400;2.829926;
92.700615;2.829252;
92.739815;2.828746;
92.779030;2.828218;
92.818237;2.827544;
92.857452;2.827008;
92.896660;2.826328;
92.935829;2.825796;
92.975044;2.825190;
93.014244;2.824660;
93.053459;2.824018;
93.092667;2.823473;
93.131882;2.822859;
93.171089;2.822300;
93.210266;2.821753;
93.249474;2.821193;
93.288689;2.820708;
93.327888;2.820206;
93.367096;2.819731;
93.406311;2.819252;
93.445518;2.818758;
93.484711;2.818259;
93.523903;2.817783;
93.563118;2.817392;
93.602318;2.816928;
93.641533;2.816552;
93.680740;2.816159;
93.719948;2.815742;
93.759125;2.815417;
93.798332;2.815112;
93.837547;2.814780;
93.876747;2.814463;
93.915962;2.814142;
93.955170;2.813834;
93.994385;2.813498;
94.033554;2.813232;
94.072777;2.812892;
94.111977;2.812575;
94.151176;2.812305;
94.190392;2.811962;
94.229599;2.811709;
94.268814;2.811472;
94.307983;2.811082;
94.347198;2.810820;
94.386406;2.810470;
94.425621;2.810086;
94.464821;2.809738;
94.504028;2.809374;
94.543243;2.808943;
94.582413;2.808521;
94.621628;2.808141;
94.660835;2.807683;
94.700050;2.807197;
94.739250;2.806679;
94.778465;2.806139;
94.817673;2.805626;
94.856850;2.805078;
94.896057;2.804497;
94.935265;2.803971;
94.974480;2.803335;
95.013680;2.802707;
95.052895;2.802052;
95.092102;2.801407;
95.131279;2.800791;
95.170486;2.800112;
95.209702;2.799402;
95.248909;2.798612;
95.288124;2.798026;
95.327324;2.797354;
95.366531;2.796613;
95.405731;2.795934;
95.444916;2.795123;
95.484131;2.794471;
95.523338;2.793699;
95.562553;2.792947;
95.601753;2.792287;
95.640968;2.791540;
95.680138;2.790869;
95.719345;2.790179;
95.758560;2.789492;
95.797768;2.788801;
95.836983;2.788176;
95.876183;2.787453;
95.915398;2.786832;
95.954567;2.786157;
95.993805;2.785580;
96.032990;2.784978;
96.072205;2.784380;
96.111412;2.783798;
96.150612;2.783153;
96.189827;2.782505;
96.228996;2.781976;
96.268211;2.781467;
96.307419;2.780938;
96.346634;2.780254;
96.385841;2.779686;
96.425056;2.779245;
96.464256;2.778587;
96.503433;2.778004;
96.542641;2.777462;
96.581848;2.776804;
96.621063;2.776168;
96.660271;2.775515;
96.699486;2.774905;
96.738686;2.774273;
96.777863;2.773575;
96.817070;2.772839;
96.856285;2.772141;
96.895493;2.771409;
96.941574;2.770566;
96.973915;2.769783;
97.013115;2.768954;
97.052292;2.768133;
97.091499;2.767270;
97.130714;2.766375;
97.169922;2.765411;
97.209137;2.764503;
97.248344;2.763552;
97.287560;2.762550;
97.326736;2.761554;
97.365929;2.760595;
97.405144;2.759512;
97.444351;2.758452;
97.483566;2.757468;
97.522774;2.756332;
97.561989;2.755265;
97.601151;2.754151;
97.640366;2.752983;
97.679573;2.751921;
97.718788;2.750803;
97.757996;2.749681;
97.797203;2.748623;
97.836418;2.747556;
97.875580;2.746448;
97.914818;2.745426;
97.954002;2.744396;
97.993217;2.743358;
98.032425;2.742387;
98.071640;2.741421;
98.110847;2.740428;
98.150009;2.739568;
98.189224;2.738641;
98.228432;2.737710;
98.267647;2.736894;
98.306854;2.736085;
98.346069;2.735316;
98.385277;2.734623;
98.424454;2.733833;
98.463654;2.733114;
98.502869;2.732436;
98.542076;2.731816;
98.581284;2.731201;
98.620499;2.730637;
98.659706;2.730105;
98.698883;2.729592;
98.738083;2.729032;
98.777298;2.728641;
98.816505;2.728183;
98.855721;2.727757;
98.894928;2.727353;
98.934135;2.727025;
98.973312;2.726705;
99.012512;2.726373;
99.051727;2.725999;
99.090935;2.725774;
99.130150;2.725468;
99.169357;2.725210;
99.208572;2.724968;
99.247742;2.724694;
99.286957;2.724405;
99.326157;2.724148;
99.365364;2.723896;
99.404579;2.723658;
99.443787;2.723326;
99.483002;2.723078;
99.522171;2.722818;
99.561386;2.722580;
99.600586;2.722280;
99.639801;2.721976;
99.679008;2.721600;
99.718224;2.721352;
99.757431;2.720963;
99.796600;2.720723;
99.835831;2.720417;
99.875015;2.720073;
99.914230;2.719749;
99.953438;2.719391;
99.992653;2.719077;
100.031860;2.718719;
100.071037;2.718463;
100.110245;2.718113;
100.149445;2.717786;
100.188660;2.717464;
100.227867;2.717109;
100.267082;2.716867;
100.306290;2.716572;
100.345474;2.716355;
100.384674;2.716055;
100.423889;2.715742;
100.463089;2.715569;
100.502304;2.715355;
100.541512;2.715115;
100.580719;2.714955;
100.619896;2.714839;
100.659103;2.714715;
100.698318;2.714620;
100.737518;2.714501;
100.776733;2.714317;
100.815941;2.714330;
100.855156;2.714242;
100.894325;2.714290;
100.933540;2.714246;
100.972748;2.714229;
101.011948;2.714183;
101.051163;2.714205;
101.090370;2.714234;
101.129585;2.714307;
101.168755;2.714367;
101.207970;2.714301;
101.247177;2.714359;
101.286392;2.714330;
101.325592;2.714355;
101.364799;2.714443;
101.404015;2.714440;
101.443184;2.714416;
101.482399;2.714334;
101.521606;2.714383;
101.560822;2.714300;
101.600021;2.714253;
101.639236;2.714096;
101.678444;2.713995;
101.717621;2.713832;
101.756836;2.713676;
101.796036;2.713498;
101.835251;2.713288;
101.874451;2.713037;
101.913666;2.712750;
101.952873;2.712429;
101.992050;2.712059;
102.031258;2.711783;
102.070473;2.711407;
102.109680;2.710886;
102.148895;2.710443;
102.188095;2.709924;
102.227303;2.709436;
102.266502;2.708904;
102.305687;2.708391;
102.344902;2.707827;
102.384109;2.707242;
102.423325;2.706692;
102.462524;2.706116;
102.501740;2.705444;
102.540909;2.704761;
102.580116;2.704142;
102.619331;2.703552;
102.658539;2.702840;
102.697754;2.702195;
102.736954;2.701556;
102.776169;2.700870;
102.815338;2.700263;
102.854553;2.699612;
102.893761;2.698931;
102.932976;2.698255;
102.972183;2.697771;
103.011383;2.697196;
103.050598;2.696654;
103.089767;2.696048;
103.128983;2.695445;
103.168190;2.694982;
103.207405;2.694478;
103.246613;2.693953;
103.285828;2.693525;
103.325027;2.692991;
103.364204;2.692557;
103.403412;2.692170;
103.442619;2.691778;
103.481834;2.691387;
103.521042;2.690967;
103.560257;2.690697;
103.599457;2.690346;
103.638634;2.689985;
103.677841;2.689634;
103.717056;2.689306;
103.756264;2.689025;
103.795471;2.688803;
103.834686;2.688511;
103.873886;2.688224;
103.913063;2.687860;
103.952271;2.687588;
103.991486;2.687275;
104.030693;2.686980;
104.069908;2.686616;
104.109116;2.686206;
104.148331;2.685891;
104.187515;2.685511;
104.226700;2.685167;
104.265915;2.684756;
104.305122;2.684358;
104.344337;2.683881;
104.383545;2.683406;
104.422760;2.682878;
104.461922;2.682461;
104.501137;2.681915;
104.540344;2.681465;
104.579559;2.680867;
104.618767;2.680252;
104.657974;2.679731;
104.697189;2.679099;
104.736351;2.678550;
104.775581;2.677941;
104.814774;2.677287;
104.853989;2.676694;
104.893196;2.675977;
104.932411;2.675361;
104.971619;2.674650;
105.010780;2.674021;
105.049995;2.673402;
105.089203;2.672692;
105.128418;2.672078;
105.167625;2.671402;
105.206841;2.670741;
105.246048;2.670182;
105.285225;2.669525;
105.324425;2.668971;
105.363640;2.668414;
105.402847;2.667885;
105.442055;2.667257;
105.481270;2.666747;
105.520477;2.666298;
105.559654;2.665797;
105.598854;2.665350;
105.638069;2.664912;
105.677277;2.664437;
105.716492;2.664094;
105.755699;2.663713;
105.794907;2.663383;
105.834084;2.663087;
105.873283;2.662668;
105.912498;2.662365;
105.951706;2.662042;
105.990921;2.661803;
106.030128;2.661469;
106.069344;2.661226;
106.108528;2.660959;
106.147728;2.660728;
106.186928;2.660522;
106.226135;2.660203;
106.265350;2.659948;
106.304558;2.659707;
106.343773;2.659423;
106.382942;2.659220;
106.422157;2.658923;
106.461357;2.658631;
106.500572;2.658209;
106.539780;2.657906;
106.578995;2.657629;
106.618202;2.657175;
106.657372;2.656788;
106.696602;2.656371;
106.735786;2.655975;
106.775002;2.655465;
106.814209;2.655021;
106.853424;2.654518;
106.892632;2.654094;
106.931808;2.653522;
106.971016;2.652957;
107.010216;2.652429;
107.049431;2.651783;
107.088638;2.651191;
107.127853;2.650670;
107.167061;2.649992;
107.206238;2.649394;
107.245445;2.648781;
107.284660;2.648143;
