"Piezo Voltage (V)";"Fine In 1 (V)";
94.679382;2.784952;
94.703918;2.784753;
94.728477;2.784487;
94.753014;2.784300;
94.777573;2.784081;
94.802132;2.783914;
94.826683;2.783665;
94.851265;2.783486;
94.875801;2.783338;
94.900345;2.783105;
94.924889;2.782882;
94.949463;2.782723;
94.973999;2.782509;
94.998573;2.782315;
95.023117;2.782182;
95.047691;2.781943;
95.072212;2.781854;
95.096764;2.781703;
95.121330;2.781506;
95.145882;2.781387;
95.170456;2.781118;
95.194992;2.780962;
95.219574;2.780861;
95.244080;2.780715;
95.268654;2.780601;
95.293198;2.780490;
95.317772;2.780351;
95.342308;2.780177;
95.366875;2.780067;
95.391426;2.779968;
95.415962;2.779776;
95.440536;2.779665;
95.465073;2.779538;
95.489655;2.779421;
95.514191;2.779367;
95.538765;2.779265;
95.563301;2.779111;
95.587852;2.778993;
95.612389;2.778942;
95.636963;2.778770;
95.661507;2.778704;
95.686058;2.778550;
95.710617;2.778428;
95.735176;2.778419;
95.759735;2.778235;
95.784271;2.778112;
95.808846;2.778056;
95.833382;2.777887;
95.857964;2.777848;
95.882500;2.777750;
95.907074;2.777574;
95.931587;2.777524;
95.956161;2.777347;
95.980698;2.777245;
96.005257;2.777167;
96.029816;2.776993;
96.054367;2.776942;
96.078949;2.776793;
96.103462;2.776747;
96.128044;2.776573;
96.152580;2.776456;
96.177155;2.776330;
96.201691;2.776155;
96.226273;2.776066;
96.250809;2.775939;
96.275352;2.775736;
96.299896;2.775600;
96.324448;2.775419;
96.349014;2.775227;
96.373566;2.775067;
96.398140;2.774895;
96.422676;2.774708;
96.447235;2.774564;
96.471771;2.774337;
96.496353;2.774175;
96.520889;2.773962;
96.545464;2.773747;
96.570000;2.773500;
96.594582;2.773286;
96.619087;2.773140;
96.643646;2.772867;
96.668221;2.772695;
96.692757;2.772433;
96.717339;2.772147;
96.741875;2.772018;
96.766449;2.771769;
96.790970;2.771532;
96.815544;2.771228;
96.840080;2.771091;
96.864662;2.770816;
96.889198;2.770556;
96.913765;2.770264;
96.938309;2.770003;
96.962837;2.769745;
96.987419;2.769460;
97.011955;2.769269;
97.036530;2.768927;
97.061066;2.768661;
97.085648;2.768433;
97.110184;2.768099;
97.134743;2.767863;
97.159279;2.767607;
97.183853;2.767334;
97.208389;2.767030;
97.232948;2.766796;
97.257507;2.766539;
97.282066;2.766129;
97.306610;2.765893;
97.331146;2.765706;
97.355728;2.765384;
97.380264;2.765132;
97.404839;2.764867;
97.429375;2.764564;
97.453957;2.764315;
97.478470;2.764042;
97.503052;2.763786;
97.527588;2.763491;
97.552147;2.763271;
97.576698;2.763051;
97.601257;2.762792;
97.625832;2.762433;
97.650345;2.762253;
97.674919;2.762028;
97.699455;2.761740;
97.724037;2.761529;
97.748573;2.761263;
97.773148;2.760988;
97.797684;2.760788;
97.822243;2.760579;
97.846779;2.760249;
97.871338;2.760043;
97.895905;2.759728;
97.920456;2.759485;
97.945030;2.759253;
97.969566;2.759027;
97.994118;2.758722;
98.018654;2.758451;
98.043228;2.758233;
98.067764;2.757977;
98.092346;2.757697;
98.116882;2.757431;
98.141449;2.757143;
98.165977;2.756889;
98.190536;2.756603;
98.215111;2.756357;
98.239647;2.756102;
98.264221;2.755824;
98.288765;2.755543;
98.313339;2.755234;
98.337845;2.755015;
98.362427;2.754778;
98.386963;2.754391;
98.411530;2.754106;
98.436073;2.753888;
98.460632;2.753548;
98.485191;2.753316;
98.509727;2.753009;
98.534302;2.752712;
98.558846;2.752358;
98.583420;2.752084;
98.607956;2.751805;
98.632530;2.751547;
98.657074;2.751219;
98.681618;2.750999;
98.706154;2.750708;
