Piezo Voltage (V),Fine In 1 (V)
95.391548,2.786364
95.416092,2.786134
95.440636,2.785899
95.46521,2.785679
95.489746,2.785509
95.51432,2.785272
95.538864,2.785112
95.563438,2.784869
95.587959,2.784678
95.612534,2.784499
95.63707,2.784311
95.661629,2.784106
95.686195,2.783851
95.710739,2.783622
95.735321,2.78351
95.759827,2.783242
95.784401,2.783109
95.808945,2.782933
95.833519,2.782743
95.858055,2.782559
95.882629,2.782372
95.907173,2.782224
95.931717,2.782047
95.956268,2.781829
95.98082,2.781647
96.005402,2.781454
96.029938,2.781253
96.054512,2.781117
96.079048,2.780856
96.1036,2.780803
96.128136,2.780531
96.15271,2.780329
96.177254,2.780192
96.20182,2.779956
96.226364,2.779721
96.250923,2.779563
96.275467,2.779362
96.300018,2.779142
96.324593,2.778903
96.349129,2.778696
96.373711,2.778414
96.398247,2.778231
96.422821,2.778059
96.447334,2.777768
96.471909,2.777508
96.496445,2.777198
96.521004,2.776952
96.545563,2.776697
96.570114,2.776452
96.594673,2.776151
96.619209,2.775815
96.643791,2.775561
96.668327,2.775195
96.692902,2.774815
96.717438,2.774439
96.74202,2.774214
96.766556,2.773761
96.7911,2.773399
96.815643,2.773028
96.840195,2.77256
96.864754,2.772201
96.889313,2.771805
96.913879,2.771345
96.938423,2.770839
96.962982,2.770359
96.987518,2.769852
97.0121,2.769339
97.036636,2.768812
97.061211,2.768237
97.085747,2.767634
97.110329,2.767051
97.134834,2.766423
97.159393,2.765804
97.183952,2.765086
97.208504,2.764361
97.233086,2.763617
97.257622,2.762897
97.282196,2.762115
97.306717,2.761373
97.331291,2.76057
97.355827,2.759645
97.380409,2.758716
97.404945,2.757766
97.42952,2.756803
97.454056,2.755831
97.478584,2.754835
97.503151,2.753647
97.527702,2.752568
97.552277,2.751399
97.576813,2.750182
97.601395,2.748968
97.625931,2.747659
97.65049,2.746306
97.675026,2.744899
97.6996,2.743414
97.724136,2.742008
97.748703,2.740416
97.773254,2.738775
97.797813,2.737168
97.822357,2.735462
97.846893,2.733624
97.871475,2.731813
97.896011,2.729917
97.920586,2.727941
97.945122,2.725917
97.969704,2.723817
97.994217,2.721626
98.018799,2.719397
98.043335,2.717122
98.067894,2.714735
98.092445,2.712368
98.117004,2.709846
98.141563,2.707277
98.166092,2.704716
98.190666,2.701989
98.215202,2.69927
98.239784,2.696386
98.26432,2.693455
98.288895,2.690567
98.313431,2.687469
98.33799,2.684428
98.362526,2.68121
98.387085,2.678031
98.411644,2.674709
98.436203,2.67135
98.46077,2.66802
98.485313,2.664564
98.509865,2.661048
98.534401,2.65753
98.558975,2.653905
98.583511,2.650346
98.608093,2.646581
98.632629,2.642907
98.657204,2.639199
98.681725,2.635396
98.706284,2.631617
98.73085,2.627638
98.755394,2.623922
98.779968,2.620115
98.804512,2.61618
98.829086,2.612334
98.853592,2.608428
98.878174,2.604551
98.90271,2.600707
98.927284,2.596849
98.95182,2.593097
98.976387,2.589194
99.000938,2.585479
99.025475,2.581776
99.050041,2.578047
99.074593,2.57448
99.099167,2.570897
99.123703,2.56741
99.148277,2.563944
99.172821,2.56054
99.197365,2.55735
99.221901,2.554175
99.246483,2.55107
99.271019,2.548177
99.295578,2.545368
99.320129,2.542728
99.344688,2.5403
99.369247,2.53808
99.393784,2.535977
99.418358,2.53421
99.442902,2.532606
99.467476,2.531177
99.492012,2.529859
99.516586,2.528289
99.5411,2.526443
99.565666,2.524317
99.59021,2.521726
99.614769,2.519041
99.639328,2.516477
99.663887,2.513963
99.688454,2.511524
99.712982,2.509136
99.737556,2.506869
99.762093,2.504686
99.786667,2.502649
99.811211,2.500724
99.835785,2.498744
99.860321,2.496787
99.884872,2.494722
99.909409,2.492271
99.933968,2.489419
99.958534,2.485531
99.983078,2.480391
100.007652,2.474136
100.032196,2.467472
100.056747,2.462868
100.085548,2.462483
100.105865,2.465267
100.130402,2.471122
100.154976,2.479593
100.17952,2.487789
100.204094,2.494378
100.2286,2.499483
100.253159,2.503563
100.277733,2.50719
100.302277,2.510382
100.326851,2.513442
100.351387,2.516255
100.375961,2.519043
100.400482,2.521755
100.425056,2.52433
100.4496,2.526683
100.474174,2.52876
100.498711,2.530735
100.523277,2.533118
100.547829,2.536322
100.572357,2.540281
100.596931,2.544175
100.621468,2.547673
100.646042,2.550754
100.670586,2.553528
100.69516,2.556254
100.719696,2.558894
100.744255,2.561543
100.768791,2.564191
100.793365,2.566809
100.817909,2.569511
100.842461,2.572239
100.86702,2.575079
100.891579,2.577888
100.916122,2.580775
100.940666,2.583724
100.96524,2.586668
100.989777,2.589652
101.014351,2.592665
101.038895,2.595645
101.063469,2.5988
101.08799,2.601763
101.112556,2.604882
101.1371,2.607991
101.161659,2.611015
101.186218,2.614131
101.21077,2.617198
101.235336,2.6202
101.259857,2.62338
101.284431,2.626412
101.308975,2.629401
101.333549,2.632472
101.358086,2.635458
101.38266,2.638367
101.407204,2.641323
101.431755,2.644226
101.456299,2.64705
101.48085,2.649923
101.505417,2.652673
101.529968,2.655426
101.554543,2.658202
101.579079,2.660861
101.60363,2.66341
101.628166,2.666065
101.65274,2.668485
101.677284,2.671014
101.701859,2.673469
101.726395,2.675769
101.750961,2.678039
101.77549,2.680244
101.800049,2.682324
101.824623,2.684406
101.849159,2.68639
101.873741,2.688389
101.898277,2.69026
101.922852,2.692114
101.947365,2.693929
101.971939,2.695555
101.996475,2.697215
102.021049,2.698757
102.045593,2.700259
102.070145,2.701645
102.094704,2.703004
102.11924,2.704272
102.143822,2.70542
102.168358,2.706588
102.192932,2.707713
102.217468,2.708689
102.24205,2.70968
102.266586,2.710545
102.29113,2.711486
102.315674,2.712241
102.34024,2.713019
102.364784,2.713772
102.389343,2.714417
102.413902,2.715024
102.438454,2.715578
102.463013,2.716169
102.487549,2.716601
102.512131,2.716999
102.536667,2.717413
102.561241,2.717812
102.585777,2.718143
102.610359,2.718438
102.634865,2.718699
102.659424,2.719012
102.683983,2.719233
102.708534,2.71947
102.733101,2.719616
102.757652,2.719756
102.782227,2.719959
102.806747,2.720072
102.831322,2.720056
102.855858,2.72024
102.88044,2.720323
102.904976,2.720361
102.92955,2.720389
102.954086,2.720351
102.978638,2.720426
103.003174,2.720408
103.027733,2.720411
103.052307,2.720411
103.076843,2.720399
103.101425,2.720419
103.125961,2.720389
103.15052,2.720274
103.175056,2.720244
103.199631,2.720203
103.224167,2.720201
103.248749,2.720122
103.273285,2.720059
103.297852,2.720043
103.32238,2.72002
103.346924,2.719945
103.371506,2.719977
103.396042,2.719796
103.420616,2.719763
103.445152,2.719734
103.469734,2.719668
103.494247,2.719583
103.518829,2.71948
103.543365,2.719476
103.56794,2.719371
103.592476,2.719326
103.617035,2.719239
103.641594,2.71914
103.666122,2.719141
103.690697,2.719104
103.715233,2.718952
103.739815,2.718917
103.764351,2.718753
103.788925,2.718698
103.813461,2.71863
103.83802,2.718565
103.862556,2.718444
103.887123,2.718346
103.911674,2.718264
103.936234,2.718094
103.960785,2.718063
103.985344,2.718009
104.009895,2.717787
104.034431,2.717706
104.059006,2.717558
104.083542,2.717458
104.108124,2.717373
104.13266,2.71727
104.157234,2.717173
104.181755,2.717075
104.206314,2.716923
104.230865,2.716746
104.255424,2.716578
104.279991,2.716453
104.304543,2.716329
104.329117,2.716139
104.353622,2.715959
104.378204,2.715904
104.40274,2.715674
104.427315,2.715543
104.451851,2.715359
104.476433,2.715197
104.500969,2.714991
104.525513,2.714775
104.550064,2.71459
104.574623,2.714385
104.599197,2.71414
104.623734,2.713923
104.648308,2.713702
104.672852,2.713489
104.697395,2.713227
104.721931,2.712992
104.746513,2.712803
104.771049,2.712521
104.795624,2.712254
104.82016,2.711927
104.844719,2.71179
104.86927,2.711524
104.893814,2.711207
104.918388,2.71096
104.942932,2.71068
104.967506,2.710413
104.992043,2.710133
105.016594,2.709866
105.04113,2.709524
105.065704,2.709245
105.09024,2.709057
105.114807,2.708774
105.139359,2.708471
105.163918,2.708205
105.188469,2.707928
105.213013,2.707649
105.237587,2.707354
105.262123,2.707134
105.286697,2.706851
105.311241,2.706564
105.335815,2.706354
105.360321,2.706027
105.384903,2.705805
105.409439,2.705575
105.433998,2.705326
105.458549,2.705098
105.483109,2.704797
105.507675,2.704554
105.532204,2.704296
105.556778,2.704094
105.581322,2.703879
105.605896,2.703636
105.630432,2.703395
105.655006,2.703207
105.67955,2.702935
105.704094,2.702849
105.72863,2.702585
105.753189,2.702418
105.777748,2.702143
105.802307,2.701958
105.826881,2.701844
105.851418,2.701544
105.875977,2.701434
105.900513,2.701214
105.925087,2.700979
105.949631,2.700866
105.974205,2.700717
105.998741,2.700462
106.023315,2.70028
106.047829,2.700176
106.072395,2.699972
106.096954,2.699809
106.121498,2.699641
106.146072,2.699462
106.170616,2.699331
106.19519,2.699155
106.219711,2.698977
106.244286,2.698822
106.268822,2.698642
106.293396,2.698416
106.31794,2.698305
106.342514,2.698115
106.36705,2.697963
106.391579,2.697814
106.416153,2.69771
106.440697,2.697448
106.465271,2.697284
106.489807,2.697129
106.514381,2.696936
106.538925,2.696778
106.563477,2.696617
106.58802,2.696424
106.612595,2.696201
106.637131,2.696111
106.661697,2.695919
