"Piezo Voltage (V)";"Fine In 1 (V)";
88.309792;2.722260;
88.349007;2.721741;
88.388206;2.721253;
88.427422;2.720886;
88.466629;2.720435;
88.505836;2.720112;
88.545052;2.719738;
88.584221;2.719437;
88.623436;2.719123;
88.662636;2.718939;
88.701851;2.718708;
88.741058;2.718568;
88.780273;2.718435;
88.819481;2.718366;
88.858658;2.718414;
88.897865;2.718419;
88.937065;2.718484;
88.976280;2.718642;
89.015488;2.718847;
89.054703;2.719081;
89.093910;2.719322;
89.133087;2.719715;
89.172295;2.720050;
89.211510;2.720484;
89.250710;2.721017;
89.289917;2.721582;
89.329132;2.722304;
89.368340;2.723066;
89.407516;2.723737;
89.446739;2.724662;
89.485939;2.725597;
89.525139;2.726573;
89.564354;2.727566;
89.603561;2.728741;
89.642776;2.729871;
89.681946;2.731120;
89.721153;2.732459;
89.760368;2.733800;
89.799568;2.735309;
89.838783;2.736711;
89.877991;2.738150;
89.917206;2.739792;
89.956390;2.741274;
89.995590;2.742879;
90.034798;2.744465;
90.073997;2.746149;
90.113213;2.747775;
90.152420;2.749524;
90.191635;2.751192;
90.230804;2.752803;
90.270020;2.754490;
90.309227;2.756083;
90.348442;2.757685;
90.387650;2.759278;
90.426865;2.760944;
90.466064;2.762504;
90.505234;2.763987;
90.544449;2.765387;
90.583656;2.766787;
90.622871;2.768101;
90.662079;2.769375;
90.701294;2.770545;
90.740494;2.771745;
90.779671;2.772824;
90.818878;2.773779;
90.858093;2.774731;
90.897301;2.775561;
90.936508;2.776361;
90.975723;2.777025;
91.014923;2.777663;
91.054100;2.778210;
91.093307;2.778822;
91.132523;2.779244;
91.171730;2.779650;
91.210945;2.780009;
91.250153;2.780234;
91.289352;2.780516;
91.328529;2.780640;
91.367744;2.780751;
91.406952;2.780826;
91.446159;2.780881;
91.485374;2.780831;
91.524582;2.780838;
91.563797;2.780731;
91.602959;2.780606;
91.642174;2.780495;
91.681381;2.780359;
91.720589;2.780227;
91.759804;2.780057;
91.799011;2.779837;
91.838226;2.779638;
91.877411;2.779351;
91.916603;2.779164;
91.955811;2.778949;
91.995026;2.778625;
92.034233;2.778515;
92.073441;2.778095;
92.112656;2.777954;
92.151817;2.777654;
92.191032;2.777434;
92.230240;2.777220;
92.269455;2.776943;
92.308662;2.776706;
92.347878;2.776528;
92.387085;2.776318;
92.426262;2.776067;
92.465477;2.775807;
92.504669;2.775551;
92.543884;2.775413;
92.583092;2.775243;
92.622307;2.775029;
92.661514;2.774818;
92.700691;2.774628;
92.739891;2.774503;
92.779106;2.774232;
92.818314;2.773998;
92.857529;2.773862;
92.896736;2.773588;
92.935944;2.773378;
92.975121;2.773064;
93.014320;2.772840;
93.053535;2.772551;
93.092743;2.772348;
93.131958;2.771956;
93.171165;2.771661;
93.210381;2.771320;
93.249550;2.770974;
93.288765;2.770604;
93.327965;2.770215;
93.367172;2.769777;
93.406387;2.769310;
93.445595;2.768907;
93.484810;2.768402;
93.523979;2.767867;
93.563194;2.767333;
93.602394;2.766723;
93.641609;2.766198;
93.680817;2.765529;
93.720024;2.764866;
93.759239;2.764320;
93.798424;2.763593;
93.837624;2.762860;
93.876823;2.762208;
93.916039;2.761478;
93.955246;2.760685;
93.994461;2.760001;
94.033669;2.759225;
94.072845;2.758591;
94.112053;2.757780;
94.151253;2.756939;
94.190468;2.756184;
94.229675;2.755455;
94.268890;2.754688;
94.308098;2.753879;
94.347275;2.753095;
94.386490;2.752352;
94.425697;2.751588;
94.464897;2.750815;
94.504105;2.750072;
94.543320;2.749434;
94.582527;2.748705;
94.621704;2.747933;
94.660912;2.747312;
94.700127;2.746588;
94.739326;2.745896;
94.778542;2.745317;
94.817749;2.744655;
94.856964;2.744069;
94.896133;2.743474;
94.935341;2.742950;
94.974556;2.742396;
95.013756;2.741816;
95.052971;2.741357;
95.092178;2.740837;
95.131393;2.740321;
95.170563;2.739926;
95.209778;2.739351;
95.248985;2.738892;
95.288200;2.738415;
95.327400;2.737972;
95.366608;2.737551;
95.405823;2.737052;
95.444992;2.736595;
95.484207;2.736177;
95.523415;2.735723;
95.562630;2.735252;
95.601830;2.734719;
95.641045;2.734215;
95.680252;2.733714;
95.719437;2.733191;
95.758636;2.732686;
95.797844;2.732139;
95.837059;2.731558;
95.876259;2.731056;
95.915474;2.730408;
95.954681;2.729771;
95.993858;2.729177;
96.033066;2.728563;
96.072281;2.727928;
96.111488;2.727272;
96.150688;2.726709;
96.189903;2.726024;
96.229111;2.725441;
96.268288;2.724705;
96.307510;2.724071;
96.346710;2.723417;
96.385918;2.722728;
96.425133;2.722092;
96.464333;2.721381;
96.503540;2.720754;
96.542717;2.720093;
96.581924;2.719365;
96.621140;2.718884;
96.660347;2.718230;
96.699562;2.717686;
96.738762;2.717005;
96.777977;2.716453;
96.817146;2.715942;
96.856361;2.715405;
96.895569;2.714878;
96.941574;2.714429;
96.973991;2.713922;
97.013191;2.713416;
97.052406;2.713024;
97.091576;2.712571;
97.130791;2.712205;
97.169998;2.711813;
97.209213;2.711361;
97.248421;2.711058;
97.287636;2.710768;
97.326836;2.710484;
97.366005;2.710079;
97.405220;2.709865;
97.444427;2.709525;
97.483643;2.709315;
97.522850;2.709092;
97.562065;2.708860;
97.601265;2.708687;
97.640465;2.708463;
97.679649;2.708229;
97.718857;2.708109;
97.758072;2.707827;
97.797279;2.707696;
97.836494;2.707355;
97.875694;2.707208;
97.914871;2.706968;
97.954079;2.706782;
97.993294;2.706512;
98.032501;2.706319;
98.071716;2.706141;
98.110924;2.705852;
98.150124;2.705590;
98.189301;2.705339;
98.228531;2.705017;
98.267723;2.704659;
98.306931;2.704378;
98.346146;2.704001;
98.385353;2.703627;
98.424568;2.703284;
98.463730;2.702939;
98.502945;2.702526;
98.542152;2.702124;
98.581360;2.701693;
98.620575;2.701293;
98.659782;2.700854;
98.698997;2.700273;
98.738159;2.699829;
98.777374;2.699355;
98.816582;2.698937;
98.855797;2.698473;
98.895004;2.697987;
98.934212;2.697565;
98.973427;2.697068;
99.012589;2.696693;
99.051804;2.696140;
99.091011;2.695802;
99.130226;2.695418;
99.169434;2.694902;
99.208649;2.694611;
99.247856;2.694220;
99.287033;2.693907;
99.326233;2.693486;
99.365440;2.693232;
99.404655;2.692943;
99.443863;2.692672;
99.483078;2.692531;
99.522285;2.692209;
99.561470;2.692061;
99.600662;2.691880;
99.639877;2.691782;
99.679085;2.691612;
99.718300;2.691561;
99.757507;2.691446;
99.796715;2.691412;
99.835892;2.691363;
99.875092;2.691439;
99.914307;2.691366;
99.953514;2.691451;
99.992729;2.691412;
100.031937;2.691483;
100.071152;2.691513;
100.110321;2.691581;
100.149544;2.691475;
100.188736;2.691577;
100.227943;2.691620;
100.267159;2.691673;
100.306366;2.691671;
100.345581;2.691691;
100.384750;2.691666;
100.423965;2.691591;
100.463165;2.691492;
100.502380;2.691455;
100.541588;2.691323;
100.580795;2.691179;
100.620010;2.690919;
100.659187;2.690779;
100.698395;2.690526;
100.737595;2.690238;
100.776810;2.690068;
