"Piezo Voltage (V)";"Fine In 1 (V)";
88.309792;2.802883;
88.349007;2.802660;
88.388206;2.802408;
88.427422;2.802143;
88.466629;2.801892;
88.505836;2.801635;
88.545013;2.801375;
88.584221;2.801185;
88.623436;2.800946;
88.662636;2.800753;
88.701851;2.800448;
88.741058;2.800198;
88.780273;2.799952;
88.819443;2.799650;
88.858658;2.799392;
88.897865;2.799208;
88.937065;2.798890;
88.976280;2.798524;
89.015488;2.798202;
89.054703;2.797877;
89.093872;2.797534;
89.133087;2.797127;
89.172295;2.796695;
89.211510;2.796386;
89.250710;2.795935;
89.289917;2.795468;
89.329132;2.794990;
89.368317;2.794601;
89.407516;2.794037;
89.446724;2.793516;
89.485939;2.793023;
89.525139;2.792583;
89.564354;2.791932;
89.603561;2.791452;
89.642738;2.790957;
89.681946;2.790330;
89.721153;2.789726;
89.760368;2.789081;
89.799568;2.788483;
89.838783;2.787912;
89.877991;2.787278;
89.917168;2.786735;
89.956390;2.786135;
89.995590;2.785498;
90.034798;2.784864;
90.073997;2.784321;
90.113213;2.783732;
90.152420;2.783196;
90.191597;2.782625;
90.230804;2.782002;
90.270020;2.781465;
90.309227;2.780944;
90.348442;2.780404;
90.387650;2.779960;
90.426865;2.779441;
90.466026;2.779008;
90.505234;2.778507;
90.544449;2.778095;
90.583656;2.777641;
90.622871;2.777255;
90.662079;2.776871;
90.701294;2.776494;
90.740456;2.776149;
90.779671;2.775736;
90.818878;2.775425;
90.858093;2.775116;
90.897301;2.774775;
90.936508;2.774445;
90.975723;2.774230;
91.014885;2.773905;
91.054100;2.773618;
91.093307;2.773423;
91.132523;2.773045;
91.171730;2.772832;
91.210945;2.772611;
91.250153;2.772273;
91.289337;2.772004;
91.328529;2.771674;
91.367737;2.771421;
91.406952;2.771109;
91.446159;2.770815;
91.485374;2.770501;
91.524582;2.770198;
91.563759;2.769824;
91.602959;2.769424;
91.642174;2.769079;
91.681381;2.768632;
91.720589;2.768327;
91.759804;2.767789;
91.799011;2.767414;
91.838188;2.766939;
91.877411;2.766469;
91.916603;2.765951;
91.955811;2.765425;
91.995026;2.764917;
92.034233;2.764382;
92.073441;2.763781;
92.112617;2.763214;
92.151817;2.762684;
92.191032;2.762084;
92.230240;2.761528;
92.269455;2.760799;
92.308662;2.760205;
92.347878;2.759597;
92.387047;2.759050;
92.426262;2.758348;
92.465462;2.757733;
92.504669;2.757065;
92.543884;2.756423;
92.583092;2.755828;
92.622307;2.755148;
92.661476;2.754626;
92.700691;2.753947;
92.739891;2.753413;
92.779106;2.752752;
92.818314;2.752260;
92.857529;2.751630;
92.896736;2.751146;
92.935905;2.750685;
92.975121;2.750141;
93.014320;2.749576;
93.053535;2.749112;
93.092743;2.748645;
93.131958;2.748254;
93.171165;2.747800;
93.210358;2.747384;
93.249550;2.746978;
93.288750;2.746578;
93.327965;2.746271;
93.367172;2.745898;
93.406387;2.745572;
93.445595;2.745163;
93.484772;2.744913;
93.523979;2.744595;
93.563194;2.744318;
93.602394;2.744027;
93.641609;2.743692;
93.680817;2.743469;
93.720024;2.743134;
93.759201;2.742857;
93.798424;2.742581;
93.837624;2.742358;
93.876823;2.742042;
93.916039;2.741719;
93.955246;2.741372;
93.994461;2.741121;
94.033630;2.740778;
94.072845;2.740387;
94.112053;2.740051;
94.151253;2.739684;
94.190468;2.739275;
